territorio_codigo,territorio_nome,ano_nome,pam_area_colhida_banana,pam_area_colhida_cana,pam_area_colhida_castanha_caju,pam_area_colhida_feijao,pam_area_colhida_mandioca,pam_area_colhida_melao,pam_area_colhida_milho,pam_area_plantada_banana,pam_area_plantada_cana,pam_area_plantada_castanha_caju,pam_area_plantada_feijao,pam_area_plantada_mandioca,pam_area_plantada_melao,pam_area_plantada_milho,pam_quantidade_banana,pam_quantidade_cana,pam_quantidade_castanha_caju,pam_quantidade_feijao,pam_quantidade_mandioca,pam_quantidade_melao,pam_quantidade_milho,pam_rendimento_banana,pam_rendimento_cana,pam_rendimento_castanha_caju,pam_rendimento_feijao,pam_rendimento_mandioca,pam_rendimento_melao,pam_rendimento_milho,pam_valor_banana,pam_valor_cana,pam_valor_castanha_caju,pam_valor_feijao,pam_valor_mandioca,pam_valor_melao,pam_valor_milho,ppm_efetivo_bovino,ppm_efetivo_caprino,ppm_efetivo_galinaceos,ppm_efetivo_ovino,ppm_efetivo_suino,pib_pct_agropecuario_vab,pib_pib,pib_vab_agropecuario,pib_vab_total
2300101,Abaiara - CE,2003,26.0,100.0,10.0,1300.0,8.0,0.0,2800.0,26.0,100.0,10.0,1300.0,8.0,0.0,2800.0,176.0,5500.0,4.0,702.0,83.0,0.0,5236.0,6769.0,55000.0,400.0,540.0,10375.0,0.0,1870.0,56.0,192.0,4.0,917.0,18.0,0.0,1906.0,5311.0,280.0,25403.0,278.0,539.0,34.46,17657.0,5897.0,17110.0
2300101,Abaiara - CE,2004,26.0,80.0,10.0,1333.0,8.0,0.0,2660.0,26.0,80.0,10.0,1520.0,8.0,0.0,2660.0,169.0,4000.0,5.0,445.0,84.0,0.0,2934.0,6500.0,50000.0,500.0,333.0,10500.0,0.0,1103.0,62.0,152.0,6.0,398.0,16.0,0.0,1141.0,5433.0,290.0,26484.0,285.0,555.0,26.28,16808.0,4235.0,16118.0
2300101,Abaiara - CE,2005,27.0,80.0,10.0,532.0,11.0,0.0,1158.0,27.0,80.0,10.0,532.0,11.0,0.0,1158.0,184.0,3360.0,4.0,117.0,132.0,0.0,903.0,6814.0,42000.0,400.0,219.0,12000.0,0.0,779.0,76.0,119.0,4.0,176.0,12.0,0.0,302.0,5615.0,303.0,27762.0,295.0,574.0,18.69,17153.0,3059.0,16367.0
2300101,Abaiara - CE,2006,35.0,60.0,10.0,750.0,11.0,0.0,1440.0,35.0,60.0,10.0,750.0,11.0,0.0,1440.0,525.0,2400.0,3.0,450.0,132.0,0.0,2880.0,15000.0,40000.0,300.0,600.0,12000.0,0.0,2000.0,297.0,97.0,3.0,401.0,11.0,0.0,877.0,5790.0,318.0,28866.0,303.0,587.0,23.04,22869.0,5060.0,21960.0
2300101,Abaiara - CE,2007,35.0,42.0,10.0,1520.0,11.0,0.0,3810.0,35.0,42.0,10.0,1520.0,11.0,0.0,3810.0,415.0,1400.0,3.0,353.0,117.0,0.0,3225.0,11857.0,33333.0,300.0,232.0,10636.0,0.0,846.0,231.0,58.0,2.0,418.0,21.0,0.0,1329.0,5969.0,333.0,30095.0,310.0,600.0,19.74,25383.0,4831.0,24475.0
2300101,Abaiara - CE,2008,38.0,40.0,10.0,988.0,1.0,0.0,1870.0,38.0,40.0,10.0,988.0,1.0,0.0,1870.0,456.0,1480.0,4.0,494.0,11.0,0.0,2805.0,12000.0,37000.0,400.0,500.0,11000.0,0.0,1500.0,269.0,51.0,5.0,856.0,2.0,0.0,1459.0,6094.0,352.0,31677.0,320.0,619.0,21.33,30985.0,6374.0,29878.0
2300101,Abaiara - CE,2009,40.0,35.0,8.0,1200.0,1.0,0.0,2000.0,40.0,35.0,8.0,1200.0,1.0,0.0,2000.0,500.0,1400.0,4.0,648.0,6.0,0.0,3312.0,12500.0,40000.0,500.0,540.0,6000.0,0.0,1656.0,314.0,47.0,4.0,1063.0,2.0,0.0,1244.0,6161.0,368.0,33026.0,327.0,632.0,20.23,34757.0,6786.0,33553.0
2300101,Abaiara - CE,2010,41.0,35.0,8.0,646.0,2.0,0.0,2062.0,41.0,35.0,8.0,646.0,2.0,0.0,2062.0,502.0,1590.0,6.0,48.0,15.0,0.0,1018.0,12243.0,45428.0,750.0,74.0,7500.0,0.0,493.0,327.0,71.0,7.0,105.0,2.0,0.0,449.0,6352.0,381.0,34305.0,333.0,650.0,13.07,36543.0,4573.0,34981.0
2300101,Abaiara - CE,2011,41.0,0.0,8.0,682.0,2.0,0.0,2337.0,41.0,0.0,8.0,682.0,2.0,0.0,2337.0,476.0,0.0,4.0,520.0,21.0,0.0,5150.0,11610.0,0.0,500.0,762.0,10500.0,0.0,2204.0,243.0,0.0,5.0,858.0,4.0,0.0,2987.0,6549.0,394.0,35465.0,344.0,665.0,18.79,50943.0,9219.0,49063.0
2300101,Abaiara - CE,2012,35.0,2.0,12.0,546.0,5.0,0.0,2244.0,35.0,2.0,12.0,546.0,5.0,0.0,2244.0,270.0,90.0,2.0,98.0,9.0,0.0,1571.0,7714.0,45000.0,167.0,179.0,1800.0,0.0,700.0,131.0,5.0,4.0,547.0,3.0,0.0,841.0,7231.0,407.0,36665.0,355.0,680.0,14.39,43079.0,5913.0,41088.0
