nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;tipo_rebanho_codigo;tipo_rebanho_nome;valor
N1;Brasil;1;Brasil;2003;2003;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;195551576
N1;Brasil;1;Brasil;2004;2004;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;204512737
N1;Brasil;1;Brasil;2005;2005;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;207156696
N1;Brasil;1;Brasil;2006;2006;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;205886244
N1;Brasil;1;Brasil;2007;2007;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;199752014
N1;Brasil;1;Brasil;2008;2008;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;202306731
N1;Brasil;1;Brasil;2009;2009;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;205307954
N1;Brasil;1;Brasil;2010;2010;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;209541109
N1;Brasil;1;Brasil;2011;2011;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;212815311
N1;Brasil;1;Brasil;2012;2012;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;211279082
N1;Brasil;1;Brasil;2013;2013;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;211764292
N1;Brasil;1;Brasil;2014;2014;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;212366132
N1;Brasil;1;Brasil;2015;2015;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;215220508
N1;Brasil;1;Brasil;2016;2016;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;218190768
N1;Brasil;1;Brasil;2017;2017;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;215003578
N1;Brasil;1;Brasil;2018;2018;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;213809445
N1;Brasil;1;Brasil;2019;2019;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;214689984
N1;Brasil;1;Brasil;2020;2020;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;217836282
N1;Brasil;1;Brasil;2021;2021;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;224601992
N1;Brasil;1;Brasil;2022;2022;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;234851536
N1;Brasil;1;Brasil;2023;2023;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;238620910
N1;Brasil;1;Brasil;2024;2024;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;238180757
N3;Unidade da Federação;23;Ceará;2003;2003;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2254262
N3;Unidade da Federação;23;Ceará;2004;2004;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2269567
N3;Unidade da Federação;23;Ceará;2005;2005;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2299233
N3;Unidade da Federação;23;Ceará;2006;2006;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2352589
N3;Unidade da Federação;23;Ceará;2007;2007;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2424290
N3;Unidade da Federação;23;Ceará;2008;2008;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2460523
N3;Unidade da Federação;23;Ceará;2009;2009;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2494482
N3;Unidade da Federação;23;Ceará;2010;2010;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2546134
N3;Unidade da Federação;23;Ceará;2011;2011;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2614604
N3;Unidade da Federação;23;Ceará;2012;2012;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2714713
N3;Unidade da Federação;23;Ceará;2013;2013;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2591067
N3;Unidade da Federação;23;Ceará;2014;2014;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2597139
N3;Unidade da Federação;23;Ceará;2015;2015;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2516197
N3;Unidade da Federação;23;Ceará;2016;2016;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2426408
N3;Unidade da Federação;23;Ceará;2017;2017;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2287400
N3;Unidade da Federação;23;Ceará;2018;2018;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2403371
N3;Unidade da Federação;23;Ceará;2019;2019;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2479289
N3;Unidade da Federação;23;Ceará;2020;2020;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2552916
N3;Unidade da Federação;23;Ceará;2021;2021;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2607005
N3;Unidade da Federação;23;Ceará;2022;2022;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2681690
N3;Unidade da Federação;23;Ceará;2023;2023;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2772173
N3;Unidade da Federação;23;Ceará;2024;2024;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;2860949
N6;Município;2300101;Abaiara - CE;2003;2003;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;5311
N6;Município;2300101;Abaiara - CE;2004;2004;105;Efetivo dos rebanhos;Cabeças;2670;Bovino;5433
