nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;produto_codigo;produto_nome;valor
N1;Brasil;1;Brasil;2003;2003;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);13343992
N1;Brasil;1;Brasil;2004;2004;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);12864838
N1;Brasil;1;Brasil;2005;2005;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);12249101
N1;Brasil;1;Brasil;2006;2006;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);12997372
N1;Brasil;1;Brasil;2007;2007;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);14010838
N1;Brasil;1;Brasil;2008;2008;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);14747249
N1;Brasil;1;Brasil;2009;2009;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);14144321
N1;Brasil;1;Brasil;2010;2010;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);12963080
N1;Brasil;1;Brasil;2011;2011;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);13605369
N1;Brasil;1;Brasil;2012;2012;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);15065288
N1;Brasil;1;Brasil;2013;2013;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);15711617
N1;Brasil;1;Brasil;2014;2014;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);15843121
N1;Brasil;1;Brasil;2015;2015;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);15848557
N1;Brasil;1;Brasil;2016;2016;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);16051087
N1;Brasil;1;Brasil;2017;2017;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);17739683
N1;Brasil;1;Brasil;2018;2018;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);16548228
N1;Brasil;1;Brasil;2019;2019;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);17774535
N1;Brasil;1;Brasil;2020;2020;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);18356420
N1;Brasil;1;Brasil;2021;2021;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);19547959
N1;Brasil;1;Brasil;2022;2022;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);21310449
N1;Brasil;1;Brasil;2023;2023;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);22546782
N1;Brasil;1;Brasil;2024;2024;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);21436837
N3;Unidade da Federação;23;Ceará;2003;2003;8331;Área plantada ou destinada à colheita;Hectares;40122;Milho (em grão);707891
