nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;produto_codigo;produto_nome;valor
N1;Brasil;1;Brasil;2003;2003;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);3727
N1;Brasil;1;Brasil;2004;2004;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);3367
N1;Brasil;1;Brasil;2005;2005;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);3040
N1;Brasil;1;Brasil;2006;2006;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);3382
N1;Brasil;1;Brasil;2007;2007;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);3785
N1;Brasil;1;Brasil;2008;2008;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);4079
N1;Brasil;1;Brasil;2009;2009;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);3714
N1;Brasil;1;Brasil;2010;2010;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);4366
N1;Brasil;1;Brasil;2011;2011;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);4211
N1;Brasil;1;Brasil;2012;2012;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5006
N1;Brasil;1;Brasil;2013;2013;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5254
N1;Brasil;1;Brasil;2014;2014;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5176
N1;Brasil;1;Brasil;2015;2015;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5535
N1;Brasil;1;Brasil;2016;2016;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);4288
N1;Brasil;1;Brasil;2017;2017;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5618
N1;Brasil;1;Brasil;2018;2018;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5108
N1;Brasil;1;Brasil;2019;2019;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5773
N1;Brasil;1;Brasil;2020;2020;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5695
N1;Brasil;1;Brasil;2021;2021;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);4650
N1;Brasil;1;Brasil;2022;2022;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5209
N1;Brasil;1;Brasil;2023;2023;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5913
N1;Brasil;1;Brasil;2024;2024;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);5426
N3;Unidade da Federação;23;Ceará;2003;2003;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1052
N3;Unidade da Federação;23;Ceará;2004;2004;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);579
N3;Unidade da Federação;23;Ceará;2005;2005;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);496
