nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;produto_codigo;produto_nome;valor
N1;Brasil;1;Brasil;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);13522976
N1;Brasil;1;Brasil;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);11595513
N1;Brasil;1;Brasil;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);9459161
N1;Brasil;1;Brasil;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);9955266
N1;Brasil;1;Brasil;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);15616489
N1;Brasil;1;Brasil;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);20746305
N1;Brasil;1;Brasil;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);15032484
N1;Brasil;1;Brasil;2010;2010;215;Valor da produção;Mil Reais;40122;Milho (em grão);15181295
N1;Brasil;1;Brasil;2011;2011;215;Valor da produção;Mil Reais;40122;Milho (em grão);22229336
N1;Brasil;1;Brasil;2012;2012;215;Valor da produção;Mil Reais;40122;Milho (em grão);26824867
N1;Brasil;1;Brasil;2013;2013;215;Valor da produção;Mil Reais;40122;Milho (em grão);26723097
N1;Brasil;1;Brasil;2014;2014;215;Valor da produção;Mil Reais;40122;Milho (em grão);25998864
N1;Brasil;1;Brasil;2015;2015;215;Valor da produção;Mil Reais;40122;Milho (em grão);29770753
N1;Brasil;1;Brasil;2016;2016;215;Valor da produção;Mil Reais;40122;Milho (em grão);37693016
N1;Brasil;1;Brasil;2017;2017;215;Valor da produção;Mil Reais;40122;Milho (em grão);33001411
N1;Brasil;1;Brasil;2018;2018;215;Valor da produção;Mil Reais;40122;Milho (em grão);37678190
N1;Brasil;1;Brasil;2019;2019;215;Valor da produção;Mil Reais;40122;Milho (em grão);47591383
N1;Brasil;1;Brasil;2020;2020;215;Valor da produção;Mil Reais;40122;Milho (em grão);72422712
N1;Brasil;1;Brasil;2021;2021;215;Valor da produção;Mil Reais;40122;Milho (em grão);116141528
N1;Brasil;1;Brasil;2022;2022;215;Valor da produção;Mil Reais;40122;Milho (em grão);137992403
N1;Brasil;1;Brasil;2023;2023;215;Valor da produção;Mil Reais;40122;Milho (em grão);101824686
N1;Brasil;1;Brasil;2024;2024;215;Valor da produção;Mil Reais;40122;Milho (em grão);88118085
N3;Unidade da Federação;23;Ceará;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);282064
N3;Unidade da Federação;23;Ceará;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);145449
N3;Unidade da Federação;23;Ceará;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);115734
N3;Unidade da Federação;23;Ceará;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);268056
N3;Unidade da Federação;23;Ceará;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);144272
N3;Unidade da Federação;23;Ceará;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);374855
N3;Unidade da Federação;23;Ceará;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);220363
N3;Unidade da Federação;23;Ceará;2010;2010;215;Valor da produção;Mil Reais;40122;Milho (em grão);94585
N3;Unidade da Federação;23;Ceará;2011;2011;215;Valor da produção;Mil Reais;40122;Milho (em grão);519181
N3;Unidade da Federação;23;Ceará;2012;2012;215;Valor da produção;Mil Reais;40122;Milho (em grão);73410
N3;Unidade da Federação;23;Ceará;2013;2013;215;Valor da produção;Mil Reais;40122;Milho (em grão);78449
N3;Unidade da Federação;23;Ceará;2014;2014;215;Valor da produção;Mil Reais;40122;Milho (em grão);217438
N3;Unidade da Federação;23;Ceará;2015;2015;215;Valor da produção;Mil Reais;40122;Milho (em grão);82318
N3;Unidade da Federação;23;Ceará;2016;2016;215;Valor da produção;Mil Reais;40122;Milho (em grão);105531
N3;Unidade da Federação;23;Ceará;2017;2017;215;Valor da produção;Mil Reais;40122;Milho (em grão);233241
N3;Unidade da Federação;23;Ceará;2018;2018;215;Valor da produção;Mil Reais;40122;Milho (em grão);292315
N3;Unidade da Federação;23;Ceará;2019;2019;215;Valor da produção;Mil Reais;40122;Milho (em grão);301754
N3;Unidade da Federação;23;Ceará;2020;2020;215;Valor da produção;Mil Reais;40122;Milho (em grão);530482
N3;Unidade da Federação;23;Ceará;2021;2021;215;Valor da produção;Mil Reais;40122;Milho (em grão);573501
N3;Unidade da Federação;23;Ceará;2022;2022;215;Valor da produção;Mil Reais;40122;Milho (em grão);758188
N3;Unidade da Federação;23;Ceará;2023;2023;215;Valor da produção;Mil Reais;40122;Milho (em grão);433586
N3;Unidade da Federação;23;Ceará;2024;2024;215;Valor da produção;Mil Reais;40122;Milho (em grão);457195
N6;Município;2300101;Abaiara - CE;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);1906
N6;Município;2300101;Abaiara - CE;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);1141
N6;Município;2300101;Abaiara - CE;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);302
N6;Município;2300101;Abaiara - CE;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);877
N6;Município;2300101;Abaiara - CE;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);1329
N6;Município;2300101;Abaiara - CE;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);1459
N6;Município;2300101;Abaiara - CE;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);1244
