territorio_codigo;territorio_nome_x;ano_codigo;qtd_produzida_total_t;area_plantada_total_ha;area_colhida_total_ha;taxa_frustracao_safra;efetivo_bovino_cab;efetivo_caprino_cab;efetivo_ovino_cab;efetivo_suino_cab;efetivo_galinaceo_cab;_m_pam_ppm;territorio_nome_y;pib_correntes_mil_r;vab_total_mil_r;vab_agro_mil_r;participacao_vab_agro_pct;_m_com_pib
2300101;Abaiara - CE;2003;11701.0;4244.0;4244.0;0.0;5311.0;280.0;278.0;539.0;25403.0;both;Abaiara - CE;17657.0;17110.0;5897.0;34.46;both
2300101;Abaiara - CE;2004;7637.0;4304.0;4117.0;0.043447955390334525;5433.0;290.0;285.0;555.0;26484.0;both;Abaiara - CE;16808.0;16118.0;4235.0;26.28;both
2300101;Abaiara - CE;2005;4700.0;1818.0;1818.0;0.0;5615.0;303.0;295.0;574.0;27762.0;both;Abaiara - CE;17153.0;16367.0;3059.0;18.69;both
2300101;Abaiara - CE;2006;6390.0;2306.0;2306.0;0.0;5790.0;318.0;303.0;587.0;28866.0;both;Abaiara - CE;22869.0;21960.0;5060.0;23.04;both
2300101;Abaiara - CE;2007;5513.0;5428.0;5428.0;0.0;5969.0;333.0;310.0;600.0;30095.0;both;Abaiara - CE;25383.0;24475.0;4831.0;19.74;both
2300101;Abaiara - CE;2008;5250.0;2947.0;2947.0;0.0;6094.0;352.0;320.0;619.0;31677.0;both;Abaiara - CE;30985.0;29878.0;6374.0;21.33;both
2300101;Abaiara - CE;2009;5870.0;3284.0;3284.0;0.0;6161.0;368.0;327.0;632.0;33026.0;both;Abaiara - CE;34757.0;33553.0;6786.0;20.23;both
2300101;Abaiara - CE;2010;3179.0;2794.0;2794.0;0.0;6352.0;381.0;333.0;650.0;34305.0;both;Abaiara - CE;36543.0;34981.0;4573.0;13.07;both
2300101;Abaiara - CE;2011;6171.0;3070.0;3070.0;0.0;6549.0;394.0;344.0;665.0;35465.0;both;Abaiara - CE;50943.0;49063.0;9219.0;18.79;both
2300101;Abaiara - CE;2012;2040.0;2844.0;2844.0;0.0;7231.0;407.0;355.0;680.0;36665.0;both;Abaiara - CE;43079.0;41088.0;5913.0;14.39;both
2300101;Abaiara - CE;2013;2004.0;1952.0;1952.0;0.0;6591.0;457.0;375.0;616.0;37020.0;both;Abaiara - CE;50468.0;48319.0;6353.0;13.15;both
2300101;Abaiara - CE;2014;4032.0;1858.0;1858.0;0.0;6254.0;519.0;430.0;679.0;40720.0;both;Abaiara - CE;64718.0;61591.0;9785.0;15.89;both
2300101;Abaiara - CE;2015;958.0;1010.0;1010.0;0.0;7148.0;591.0;475.0;761.0;40802.0;both;Abaiara - CE;66037.0;62305.0;5100.0;8.19;both
2300101;Abaiara - CE;2016;351.0;695.0;695.0;0.0;7367.0;597.0;600.0;871.0;36721.0;both;Abaiara - CE;73672.0;69244.0;4435.0;6.4;both
2300101;Abaiara - CE;2017;6182.0;2552.0;2552.0;0.0;5830.0;320.0;1000.0;690.0;245000.0;both;Abaiara - CE;92951.0;87703.0;14479.0;16.51;both
2300101;Abaiara - CE;2018;4829.0;2922.0;2922.0;0.0;8000.0;340.0;1060.0;992.0;247000.0;both;Abaiara - CE;87933.0;83369.0;14946.0;17.93;both
2300101;Abaiara - CE;2019;1695.0;2651.0;2651.0;0.0;8400.0;1000.0;5000.0;2500.0;270000.0;both;Abaiara - CE;94460.0;89531.0;11290.0;12.61;both
2300101;Abaiara - CE;2020;4963.0;2537.0;2537.0;0.0;9000.0;1250.0;5250.0;2750.0;273000.0;both;Abaiara - CE;108505.0;103869.0;19996.0;19.25;both
2300101;Abaiara - CE;2021;4743.0;2654.0;2654.0;0.0;9010.0;1230.0;5335.0;2820.0;312000.0;both;Abaiara - CE;117971.0;112712.0;23663.0;20.99;both
2300101;Abaiara - CE;2022;5426.0;2759.0;2759.0;0.0;9100.0;1240.0;4300.0;2540.0;313500.0;both;Abaiara - CE;126794.0;;;;both
2300101;Abaiara - CE;2023;3189.0;3797.0;3797.0;0.0;8636.0;1140.0;4000.0;2000.0;302970.0;both;Abaiara - CE;143730.0;;;;both
2300101;Abaiara - CE;2024;3727.0;3494.0;3494.0;0.0;9240.0;1215.0;4400.0;2035.0;295764.0;both;;;;;;left_only
2300150;Acarape - CE;2003;30259.0;2393.0;2393.0;0.0;2112.0;45.0;360.0;1896.0;2105.0;both;Acarape - CE;32448.0;30370.0;3041.0;10.01;both
2300150;Acarape - CE;2004;30835.0;2562.0;2562.0;0.0;2174.0;103.0;374.0;1916.0;2275.0;both;Acarape - CE;33397.0;31632.0;3672.0;11.61;both
2300150;Acarape - CE;2005;30880.0;2762.0;2762.0;0.0;2255.0;118.0;391.0;1942.0;2470.0;both;Acarape - CE;33577.0;31764.0;4048.0;12.74;both
2300150;Acarape - CE;2006;29739.0;2536.0;2536.0;0.0;2337.0;123.0;409.0;1970.0;2675.0;both;Acarape - CE;36982.0;34757.0;4255.0;12.24;both
