nivel_territorial_codigo,nivel_territorial_nome,territorio_codigo,territorio_nome,ano_codigo,ano_nome,variavel_codigo,variavel_nome,unidade,valor,valor_is_inibido
N1,Brasil,1,Brasil,2003,2003,37,Produto Interno Bruto a preços correntes,Mil Reais,1717950386.0,0
N1,Brasil,1,Brasil,2004,2004,37,Produto Interno Bruto a preços correntes,Mil Reais,1957751224.0,0
N1,Brasil,1,Brasil,2005,2005,37,Produto Interno Bruto a preços correntes,Mil Reais,2170584503.0,0
N1,Brasil,1,Brasil,2006,2006,37,Produto Interno Bruto a preços correntes,Mil Reais,2409449916.0,0
N1,Brasil,1,Brasil,2007,2007,37,Produto Interno Bruto a preços correntes,Mil Reais,2720262951.0,0
N1,Brasil,1,Brasil,2008,2008,37,Produto Interno Bruto a preços correntes,Mil Reais,3109803097.0,0
N1,Brasil,1,Brasil,2009,2009,37,Produto Interno Bruto a preços correntes,Mil Reais,3333039339.0,0
N1,Brasil,1,Brasil,2010,2010,37,Produto Interno Bruto a preços correntes,Mil Reais,3885847000.0,0
N1,Brasil,1,Brasil,2011,2011,37,Produto Interno Bruto a preços correntes,Mil Reais,4376382000.0,0
N1,Brasil,1,Brasil,2012,2012,37,Produto Interno Bruto a preços correntes,Mil Reais,4814760000.0,0
N1,Brasil,1,Brasil,2013,2013,37,Produto Interno Bruto a preços correntes,Mil Reais,5331618957.0,0
N1,Brasil,1,Brasil,2014,2014,37,Produto Interno Bruto a preços correntes,Mil Reais,5778952780.0,0
N1,Brasil,1,Brasil,2015,2015,37,Produto Interno Bruto a preços correntes,Mil Reais,5995787000.0,0
N1,Brasil,1,Brasil,2016,2016,37,Produto Interno Bruto a preços correntes,Mil Reais,6269328000.0,0
N1,Brasil,1,Brasil,2017,2017,37,Produto Interno Bruto a preços correntes,Mil Reais,6585479000.0,0
N1,Brasil,1,Brasil,2018,2018,37,Produto Interno Bruto a preços correntes,Mil Reais,7004141000.0,0
N1,Brasil,1,Brasil,2019,2019,37,Produto Interno Bruto a preços correntes,Mil Reais,7389131000.0,0
N1,Brasil,1,Brasil,2020,2020,37,Produto Interno Bruto a preços correntes,Mil Reais,7609597000.0,0
N1,Brasil,1,Brasil,2021,2021,37,Produto Interno Bruto a preços correntes,Mil Reais,9012142000.0,0
N1,Brasil,1,Brasil,2022,2022,37,Produto Interno Bruto a preços correntes,Mil Reais,10079676378.0,0
N1,Brasil,1,Brasil,2023,2023,37,Produto Interno Bruto a preços correntes,Mil Reais,10943345439.0,0
N3,Unidade da Federação,23,Ceará,2003,2003,37,Produto Interno Bruto a preços correntes,Mil Reais,32687418.0,0
N3,Unidade da Federação,23,Ceará,2004,2004,37,Produto Interno Bruto a preços correntes,Mil Reais,36890816.0,0
N3,Unidade da Federação,23,Ceará,2005,2005,37,Produto Interno Bruto a preços correntes,Mil Reais,41059459.0,0
