nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;produto_codigo;produto_nome;valor
N1;Brasil;1;Brasil;2003;2003;214;Quantidade produzida;Toneladas;40122;Milho (em grão);48327323
N1;Brasil;1;Brasil;2004;2004;214;Quantidade produzida;Toneladas;40122;Milho (em grão);41787558
N1;Brasil;1;Brasil;2005;2005;214;Quantidade produzida;Toneladas;40122;Milho (em grão);35113312
N1;Brasil;1;Brasil;2006;2006;214;Quantidade produzida;Toneladas;40122;Milho (em grão);42661677
N1;Brasil;1;Brasil;2007;2007;214;Quantidade produzida;Toneladas;40122;Milho (em grão);52112217
N1;Brasil;1;Brasil;2008;2008;214;Quantidade produzida;Toneladas;40122;Milho (em grão);58933347
N1;Brasil;1;Brasil;2009;2009;214;Quantidade produzida;Toneladas;40122;Milho (em grão);50719822
N1;Brasil;1;Brasil;2010;2010;214;Quantidade produzida;Toneladas;40122;Milho (em grão);55364271
N1;Brasil;1;Brasil;2011;2011;214;Quantidade produzida;Toneladas;40122;Milho (em grão);55660235
N1;Brasil;1;Brasil;2012;2012;214;Quantidade produzida;Toneladas;40122;Milho (em grão);71072810
N1;Brasil;1;Brasil;2013;2013;214;Quantidade produzida;Toneladas;40122;Milho (em grão);80273172
N1;Brasil;1;Brasil;2014;2014;214;Quantidade produzida;Toneladas;40122;Milho (em grão);79881614
N1;Brasil;1;Brasil;2015;2015;214;Quantidade produzida;Toneladas;40122;Milho (em grão);85283700
N1;Brasil;1;Brasil;2016;2016;214;Quantidade produzida;Toneladas;40122;Milho (em grão);64188314
N1;Brasil;1;Brasil;2017;2017;214;Quantidade produzida;Toneladas;40122;Milho (em grão);97910658
N1;Brasil;1;Brasil;2018;2018;214;Quantidade produzida;Toneladas;40122;Milho (em grão);82366531
N1;Brasil;1;Brasil;2019;2019;214;Quantidade produzida;Toneladas;40122;Milho (em grão);101126409
N1;Brasil;1;Brasil;2020;2020;214;Quantidade produzida;Toneladas;40122;Milho (em grão);103989735
N1;Brasil;1;Brasil;2021;2021;214;Quantidade produzida;Toneladas;40122;Milho (em grão);88272116
N1;Brasil;1;Brasil;2022;2022;214;Quantidade produzida;Toneladas;40122;Milho (em grão);109739898
N1;Brasil;1;Brasil;2023;2023;214;Quantidade produzida;Toneladas;40122;Milho (em grão);131949711
N1;Brasil;1;Brasil;2024;2024;214;Quantidade produzida;Toneladas;40122;Milho (em grão);114953303
N3;Unidade da Federação;23;Ceará;2003;2003;214;Quantidade produzida;Toneladas;40122;Milho (em grão);745317
N3;Unidade da Federação;23;Ceará;2004;2004;214;Quantidade produzida;Toneladas;40122;Milho (em grão);379837
N3;Unidade da Federação;23;Ceará;2005;2005;214;Quantidade produzida;Toneladas;40122;Milho (em grão);281713
N3;Unidade da Federação;23;Ceará;2006;2006;214;Quantidade produzida;Toneladas;40122;Milho (em grão);760231
N3;Unidade da Federação;23;Ceará;2007;2007;214;Quantidade produzida;Toneladas;40122;Milho (em grão);357342
N3;Unidade da Federação;23;Ceará;2008;2008;214;Quantidade produzida;Toneladas;40122;Milho (em grão);752882
N3;Unidade da Federação;23;Ceará;2009;2009;214;Quantidade produzida;Toneladas;40122;Milho (em grão);538962
N3;Unidade da Federação;23;Ceará;2010;2010;214;Quantidade produzida;Toneladas;40122;Milho (em grão);174955
N3;Unidade da Federação;23;Ceará;2011;2011;214;Quantidade produzida;Toneladas;40122;Milho (em grão);915286
N3;Unidade da Federação;23;Ceará;2012;2012;214;Quantidade produzida;Toneladas;40122;Milho (em grão);122501
N3;Unidade da Federação;23;Ceará;2013;2013;214;Quantidade produzida;Toneladas;40122;Milho (em grão);112741
N3;Unidade da Federação;23;Ceará;2014;2014;214;Quantidade produzida;Toneladas;40122;Milho (em grão);347828
N3;Unidade da Federação;23;Ceará;2015;2015;214;Quantidade produzida;Toneladas;40122;Milho (em grão);130887
N3;Unidade da Federação;23;Ceará;2016;2016;214;Quantidade produzida;Toneladas;40122;Milho (em grão);114675
N3;Unidade da Federação;23;Ceará;2017;2017;214;Quantidade produzida;Toneladas;40122;Milho (em grão);373425
N3;Unidade da Federação;23;Ceará;2018;2018;214;Quantidade produzida;Toneladas;40122;Milho (em grão);470149
N3;Unidade da Federação;23;Ceará;2019;2019;214;Quantidade produzida;Toneladas;40122;Milho (em grão);423601
N3;Unidade da Federação;23;Ceará;2020;2020;214;Quantidade produzida;Toneladas;40122;Milho (em grão);633317
N3;Unidade da Federação;23;Ceará;2021;2021;214;Quantidade produzida;Toneladas;40122;Milho (em grão);414411
N3;Unidade da Federação;23;Ceará;2022;2022;214;Quantidade produzida;Toneladas;40122;Milho (em grão);538505
N3;Unidade da Federação;23;Ceará;2023;2023;214;Quantidade produzida;Toneladas;40122;Milho (em grão);359978
N3;Unidade da Federação;23;Ceará;2024;2024;214;Quantidade produzida;Toneladas;40122;Milho (em grão);398661
N6;Município;2300101;Abaiara - CE;2003;2003;214;Quantidade produzida;Toneladas;40122;Milho (em grão);5236
N6;Município;2300101;Abaiara - CE;2004;2004;214;Quantidade produzida;Toneladas;40122;Milho (em grão);2934
N6;Município;2300101;Abaiara - CE;2005;2005;214;Quantidade produzida;Toneladas;40122;Milho (em grão);903
N6;Município;2300101;Abaiara - CE;2006;2006;214;Quantidade produzida;Toneladas;40122;Milho (em grão);2880
N6;Município;2300101;Abaiara - CE;2007;2007;214;Quantidade produzida;Toneladas;40122;Milho (em grão);3225
N6;Município;2300101;Abaiara - CE;2008;2008;214;Quantidade produzida;Toneladas;40122;Milho (em grão);2805
